GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
00037	Abbeville, LA Urban Cluster	C	29222236	300497	      11.283	       0.116	 29.967224	 -92.096238                                                                                                    
00064	Abbeville, SC Urban Cluster	C	11279155	19786	       4.355	       0.008	 34.179237	 -82.379726                                                                                                     
00091	Abbotsford, WI Urban Cluster	C	5363428	13221	       2.071	       0.005	 44.948612	 -90.315875                                                                                                     
00118	Aberdeen, MS Urban Cluster	C	7416537	52820	       2.864	       0.020	 33.824742	 -88.554591                                                                                                       
00145	Aberdeen, SD Urban Cluster	C	33124147	120864	      12.789	       0.047	 45.463186	 -98.471033                                                                                                     
00172	Aberdeen, WA Urban Cluster	C	39997945	1929686	      15.443	       0.745	 46.976365	-123.796056                                                                                                    
00199	Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area	U	339642658	9826393	     131.137	       3.794	 39.508976	 -76.303431                                                                    
00226	Abernathy, TX Urban Cluster	C	3058851	12572	       1.181	       0.005	 33.830523	-101.846278                                                                                                      
00253	Abilene, KS Urban Cluster	C	8773261	1877	       3.387	       0.001	 38.921060	 -97.220754                                                                                                         
00280	Abilene, TX Urbanized Area	U	141756033	988193	      54.732	       0.382	 32.428784	 -99.747194                                                                                                    
00334	Abingdon, IL Urban Cluster	C	3739680	0	       1.444	       0.000	 40.804175	 -90.401522                                                                                                           
00388	Ada, OH Urban Cluster	C	4752598	0	       1.835	       0.000	 40.767227	 -83.824659                                                                                                                
00415	Ada, OK Urban Cluster	C	30913541	89141	      11.936	       0.034	 34.774803	 -96.669103                                                                                                           
00450	Adams, NY Urban Cluster	C	5100415	13914	       1.969	       0.005	 43.808664	 -76.021178                                                                                                          
00469	Adel, GA Urban Cluster	C	15646105	192796	       6.041	       0.074	 31.145731	 -83.429099                                                                                                         
00496	Adel, IA Urban Cluster	C	4603617	0	       1.777	       0.000	 41.612208	 -94.021014                                                                                                               
00550	Adjuntas, PR Urban Cluster	C	20440940	156185	       7.892	       0.060	 18.166604	 -66.729934                                                                                                     
00577	Adrian, MI Urban Cluster	C	62205000	614837	      24.017	       0.237	 41.914086	 -84.049778                                                                                                       
00604	Agat, GU Urban Cluster	C	12626032	2939	       4.875	       0.001	 13.391079	+144.669530                                                                                                           
00631	Aguadilla--Isabela--San Sebastián, PR Urbanized Area	U	619708700	900682	     239.271	       0.348	 18.370709	 -67.040996                                                                          
00658	Ahoskie, NC Urban Cluster	C	7548519	0	       2.914	       0.000	 36.287867	 -76.983286                                                                                                            
00676	Air Force Academy, CO Urban Cluster	C	6458441	0	       2.494	       0.000	 38.985935	-104.858324                                                                                                  
00712	Ajo, AZ Urban Cluster	C	6906722	0	       2.667	       0.000	 32.388728	-112.868912                                                                                                                
